SNo,latitude,longitude,state,code,name,address,division
2723,15.251727,76.43343,Karnataka,KGW,KARIGANURU,"Bellary, Karnataka",
2724,15.353868,76.143959,Karnataka,KBL,KOPPAL,"Koppal, Karnataka",
2725,12.918047,77.48431,Karnataka,KGI,KENGERI,"Bengaluru, Karnataka",
2727,15.447817,75.719041,Karnataka,KGX,KANGINHAL,"Gadag, Karnataka",
2734,14.59167,76.68023,Karnataka,BOMN,Bommagundanakere,"Bellary-Hiriyur Rd, Karnataka",
2756,15.21516,76.763569,Karnataka,KDN,KUDATINI,"Bellary, Karnataka",
2758,14.851426,75.407636,Karnataka,KJG,KARAJGI,"haveri, Karnataka",
2771,12.758926,77.335544,Karnataka,KHLL,KETOHALLI,"Bengaluru, Karnataka",
2804,15.293341,74.188843,Goa,KM,KALEEM,"Kalay Railway Station, Goa",
2805,15.63793441,74.49975681,Karnataka,KNP,KHANAPUR,"Khanapur, Karnataka",
2828,15.258352,75.250168,Karnataka,KNO,KUNDGOL,"Kundgol, Karnataka",
2836,15.392095,75.233643,Karnataka,KUG,KUSUGALI,"National Highway 63, Karnataka",
2884,15.442249,74.967948,Karnataka,KRKP,KYARKOP,"Dharwad, Karnataka",
2885,16.62608,74.858687,Karnataka,KUD,KUDACHI,"Kudchi, Karnataka",
2914,12.033304,76.799272,Karnataka,KVE,KAVALANDE,"SH 57, Karnataka",
2964,15.424244,74.738116,Karnataka,LWR,ALNAVAR JN,"Alnavar, Karnataka",
3047,13.7283327,76.0097415,Karnataka,AJP,AJJAMPUR,"Ajjampur, Karnataka",
3059,12.338554,76.642542,Karnataka,MNGT,MYSORE NEW GOOD,"Mysore, Karnataka",
3078,16.971395,75.822432,Karnataka,MNL,MINCHNAL,"Bijapur, Karnataka",
3086,13.335173,77.015018,Karnataka,MLSA,MALLASANDRA,"NH 206, Karnataka",
3136,12.529176,76.897256,Karnataka,MYA,MANDYA,"Mandya, Karnataka",
3156,13.001289,77.563207,Karnataka,MWM,MALLESWARAM,"Bengaluru, Karnataka",
3169,15.432164,75.430851,Karnataka,NGR,ANNIGERI,"Dist. Dharwad, Karnataka",
3189,12.816193,76.201872,Karnataka,MVC,Mavinkere,"Mavinkere, Karnataka",
3190,12.380243,76.651081,Karnataka,NHY,NAGANAHALLI,"Mysore District, Karnataka",
3252,12.941162,77.520696,Karnataka,NYH,NAYANDAHALLI,"Bengaluru, Karnataka",
3275,17.32237038,75.98468189,Karnataka,PDNR,PADNUR,"Shegao to Alagi Rd, Karnataka",
3284,13.30165468,76.85587169,Karnataka,NTR,NITTUR,"NH 206, Karnataka",
3294,12.12211,76.68443,Karnataka,NTW,NANJANGUD TOWN,"Nanjangudu, Karnataka",
3307,12.62489,76.377598,Karnataka,AKK,Akkihebbalu,"Mandya District, Karnataka",
3403,16.140169,74.695447,Karnataka,PRKH,PARKANHATTI,"Parakanhatti, Karnataka",
3405,13.26737749,76.57369957,Karnataka,RDI,KARDI,"Karadi Cross, Karnataka",
3450,15.334036,74.24423,Goa,QLM,KULEM,"South Goa Distt., Goa",
3462,14.705815,76.856828,Andhra Pradesh,RDG,Rayadurg,"Rayadurg, Andhra Pradesh",
3486,14.625461,75.635054,Karnataka,RNR,RANIBENNUR,"Ranebennur, Karnataka",
3487,13.591101,75.974749,Karnataka,RRB,BIRUR JN,"Birur, Karnataka",
3533,16.720293,74.752769,Karnataka,SED,SHEDBAL,"Belagavi, Karnataka",
3590,17.45892,75.974841,Karnataka,SLGE,SULERJAVALGE,"NH 13, Karnataka",
3597,14.226683,76.108388,Karnataka,SLU,SASALU,"State Highway 47, Karnataka",
3603,15.421499,75.87207,Karnataka,SOQ,SOMPUR ROAD,"Sompur, Karnataka",
3606,15.370791,73.867713,Goa,SKVL,SANKVAL,"Sancoale, Goa",
3608,15.43749405,75.59625386,Goa,SJDA,SANJUJE DA AREY,"CURTORIM, Goa",
3619,13.927613,75.592671,Karnataka,SME,Shimoga,"State Highway 57, Karnataka",
3688,15.264064,74.10866,Goa,SVM,SANVERDAM CHUCH,"Curchorem, Goa",
3689,16.00172811,74.67814299,Karnataka,SUL,SULADHAL,"Belagavi, Karnataka",
3727,14.399208,75.964562,Karnataka,THN,TOLAHUNSE,"Tholahunase, Karnataka",
3755,13.256152,76.475987,Karnataka,TTR,TIPTUR,"Tiptur, Karnataka",
3756,13.333033,77.102439,Karnataka,TK,TUMKUR,"Tumkur, Karnataka",
3768,14.214011,74.914093,Karnataka,TLGP,Talguppa,"Talaguppa, Karnataka",
3773,13.710886,75.812209,Karnataka,TKE,Tarikere Junction,"Tarikere, Karnataka",
3820,12.168831,76.678489,Karnataka,TXM,TANDAVAPURA,"Thandavapura, Karnataka",
3827,11.931538,78.070201,Tamil Nadu,TPP,Toppur,"Dharmapuri, Tamil Nadu",
3835,16.669705,74.822126,Karnataka,UGR,UGAR KHURD,"Belgaum, Karnataka",
3850,13.667161,75.934385,Karnataka,KRNH,Karanahalli,"Bangalore Honavar Rd, Karnataka",
3861,15.377159,75.124255,Karnataka,UNK,UNKAL,"Hubli, Karnataka",
3889,13.439282,76.08846,Karnataka,VNR,DEVANUR,"National Highway 206, Karnataka",
3907,12.823403,75.622206,Karnataka,YDK,Yedekumeri,"Yedukumeri Station, Karnataka",
3911,17.504915,75.99559,Karnataka,AHD,AHERWADI,"Sholapur, Karnataka",
